theta,price_fd,error_abs
0.5000000000,0.0693501728,0.0004244712
0.5166666667,0.0693488785,0.0004231769
0.5333333333,0.0693475841,0.0004218824
0.5500000000,0.0693462896,0.0004205880
0.5666666667,0.0693449950,0.0004192934
0.5833333333,0.0693437004,0.0004179988
0.6000000000,0.0693424057,0.0004167041
0.6166666667,0.0693411110,0.0004154094
0.6333333333,0.0693398162,0.0004141145
0.6500000000,0.0693385213,0.0004128197
0.6666666667,0.0693372263,0.0004115247
0.6833333333,0.0693359313,0.0004102297
0.7000000000,0.0693346362,0.0004089346
0.7166666667,0.0693333411,0.0004076394
0.7333333333,0.0693320458,0.0004063442
0.7500000000,0.0693307505,0.0004050489
0.7666666667,0.0693294552,0.0004037535
0.7833333333,0.0693281597,0.0004024581
0.8000000000,0.0693268642,0.0004011626
0.8166666667,0.0693255687,0.0003998670
0.8333333333,0.0693242730,0.0003985714
0.8500000000,0.0693229773,0.0003972757
0.8666666667,0.0693216815,0.0003959799
0.8833333333,0.0693203857,0.0003946841
0.9000000000,0.0693190898,0.0003933882
0.9166666667,0.0693177938,0.0003920922
0.9333333333,0.0693164978,0.0003907961
0.9500000000,0.0693152016,0.0003895000
0.9666666667,0.0693139055,0.0003882038
0.9833333333,0.0693126092,0.0003869076
1.0000000000,0.0693113129,0.0003856113
